id;numvoie;typevoie;libvoie;cp;commune;result_housenumber;result_name;result_postcode;result_city;latitude;longitude;result_score
DP07200721Z0003-0;445;ROUTE;DE LA RAINIERE;72370;ARDENAY SUR MERIZE;445;Le Chemin de la Rainiere;72370;Ardenay-sur-Mérize;47.992733;0.419713;0.69
DP07200721Z0003-2;;;LE CHEMIN DE LA RAINIERE;;ARDENAY SUR MERIZE;;Le Chemin de la Rainiere;72370;Ardenay-sur-Mérize;47.993169;0.420072;0.94
DP07200721Z0004-0;;;16 clos DU LEVANT;72370;ARDENAY SUR MERIZE;16;Clos du Levant;72370;Ardenay-sur-Mérize;47.996239;0.426973;0.95
DP07200721Z0004-2;16;;CLOS DU LEVANT;72370;ARDENAY SUR MERIZE;16;Clos du Levant;72370;Ardenay-sur-Mérize;47.996239;0.426973;0.95
DP07201121Z0005-0;;;Fontaine;72130;Assé le Boisne;;La Fontaine de Braie;72130;Assé-le-Boisne;48.293427;0.012187;0.62
DP07201121Z0005-2;;;FONTAINE;72130;ASSE LE BOISNE;;La Fontaine de Braie;72130;Assé-le-Boisne;48.293427;0.012187;0.62
DP07201121Z0006-0;;;6 rue DE LA MADELEINE;72130;ASSE LE BOISNE;6;Rue de la Madeleine;72130;Assé-le-Boisne;48.321207;-0.011103;0.94
DP07201121Z0006-2;6;;RUE DE LA MADELEINE;72130;ASSE LE BOISNE;6;Rue de la Madeleine;72130;Assé-le-Boisne;48.321207;-0.011103;0.94
DP07201121Z0007-0;11;RUE;DE LA TOUCHE;72130;ASSE LE BOISNE;11;Rue de la Touche;72130;Assé-le-Boisne;48.324831;-0.008093;0.95
DP07201121Z0007-2;11;;RUE DE LA TOUCHE;72130;ASSE LE BOISNE;11;Rue de la Touche;72130;Assé-le-Boisne;48.324831;-0.008093;0.95
DP07202321Z0026-0;29;RUE;PAUL ILIAS;72290;BALLON-SAINT MARS;29;Rue Paul Ilias;72290;Ballon-Saint Mars;48.176503;0.23388;0.96
DP07202321Z0026-2;29;;RUE PAUL ILIAS;72290;BALLON - SAINT MARS;29;Rue Paul Ilias;72290;Ballon-Saint Mars;48.176503;0.23388;0.96
DP07202321Z0033-0;28;RUE;DU GENERAL LECLERC;72290;BALLON- SAINT MARS;28;Rue du Général Leclerc;72290;Ballon-Saint Mars;48.174115;0.235535;0.96
DP07202321Z0033-2;28;;RUE DU GENERAL LECLERC;72290;BALLON - SAINT MARS;28;Rue du Général Leclerc;72290;Ballon-Saint Mars;48.174115;0.235535;0.96
DP07202321Z0034-0;;LIEU-;LES MARAIS;72290;BALLON-SAINT MARS;;Les Marais;72290;Ballon-Saint Mars;48.186516;0.283869;0.8
DP07202321Z0034-1;1;PLACE;de la République;72290;BALLON - SAINT MARS;1;Place de la République;72290;Ballon-Saint Mars;48.1752;0.234584;0.95
DP07202321Z0034-2;0002;;RUE DU GENERAL LECLERC BAL;72290;BALLON - SAINT MARS;;Rue du Général Leclerc;72290;Ballon-Saint Mars;48.174587;0.235607;0.79
DP07202321Z0037-0;;LIEU-;LA GATELLERIE;72290;BALLON-SAINT MARS;;Lieu Dit la Mare;72290;Ballon-Saint Mars;48.161016;0.299206;0.56
DP07202321Z0037-2;;;LA GATELLERIE;72290;BALLON - SAINT MARS;;Le Pin;72290;Ballon-Saint Mars;48.192941;0.231132;0.54
DP07202321Z0038-0;24;RUE;PRINCIPALE;72290;BALLON-SAINT MARS;24;Rue Principale;72290;Ballon-Saint Mars;48.172517;0.244345;0.96
DP07202321Z0038-2;24;;RUE PRINCIPALE;72290;BALLON - SAINT MARS;24;Rue Principale;72290;Ballon-Saint Mars;48.172517;0.244345;0.96
DP07202321Z0039-0;4;;RUE DE L'EUROPE;72290;BALLON - SAINT MARS;4;Rue de l’Europe;72290;Ballon-Saint Mars;48.173104;0.234058;0.95
DP07202321Z0039-2;4;;RUE DE L EUROPE;72290;BALLON - SAINT MARS;4;Rue de l’Europe;72290;Ballon-Saint Mars;48.173104;0.234058;0.95
DP07202321Z0040-0;50;RUE;SAINT LAURENT;72290;BALLON- SAINT MARS;50;Rue Saint Laurent;72290;Ballon-Saint Mars;48.171298;0.236327;0.96
DP07202321Z0040-2;3;;RUE PRINCIPALE;72290;BALLON - SAINT MARS;3;Rue Principale;72290;Ballon-Saint Mars;48.172631;0.245557;0.96
DP07202321Z0041-0;33;RUE;DE LA BATE;72290;BALLON-SAINT MARS;33;Rue de la Bâte;72290;Ballon-Saint Mars;48.167989;0.243184;0.95
DP07202321Z0041-2;33;;RUE DE LA BATE;72290;BALLON - SAINT MARS;33;Rue de la Bâte;72290;Ballon-Saint Mars;48.167989;0.243184;0.95
DP07202421Z0859-2;7;;IMPASSE DES POMMIERS;72650;LA BAZOGE;7;Impasse des Pommiers;72650;La Bazoge;48.09618;0.159146;0.95
DP07202421Z0860-0;10;;RUE DE LA GARE;72170;VIVOIN;10;Rue de la Gare;72170;Vivoin;48.233525;0.154637;0.95
DP07202421Z0860-2;2;;RUE DE MARTFELD;72650;LA BAZOGE;2;Rue de Martfeld;72650;La Bazoge;48.100371;0.148813;0.95
DP07202421Z0861-0;7;;ROUTE DE L'AUNAY TRUCHET;72650;LA BAZOGE;;L’Aunay Truchet;72650;La Bazoge;48.097687;0.173055;0.66
DP07202421Z0861-2;7;;ROUTE DE L AUNAY TRUCHET;72650;LA BAZOGE;;L’Aunay Truchet;72650;La Bazoge;48.097687;0.173055;0.66
DP07202421Z0862-0;21;;RUE DE LA GARE;72650;LA BAZOGE;21;Rue de la Gare;72650;La Bazoge;48.094561;0.150433;0.96
DP07202421Z0862-2;21;;RUE DE LA GARE;72650;LA BAZOGE;21;Rue de la Gare;72650;La Bazoge;48.094561;0.150433;0.96
DP07202421Z0863-0;9;;RUE DU CHENE;72650;LA BAZOGE;9;Rue du Chêne;72650;La Bazoge;48.099485;0.147523;0.96
DP07202421Z0863-2;9;;RUE DU CHENE;72650;LA BAZOGE;9;Rue du Chêne;72650;La Bazoge;48.099485;0.147523;0.96
DP07202421Z0864-0;107;;AVENUE NATIONALE;72650;LA BAZOGE;107;Avenue Nationale;72650;La Bazoge;48.104411;0.152201;0.96
DP07202421Z0864-2;107;;AVENUE NATIONALE;72650;LA BAZOGE;107;Avenue Nationale;72650;La Bazoge;48.104411;0.152201;0.96
DP07202421Z0865-0;5;;CHEMIN DE BEAUMANOIR;72650;LA BAZOGE;5;Chemin de Beaumanoir;72650;La Bazoge;48.103477;0.151124;0.95
DP07202421Z0865-2;5;;CHEMIN DE BEAUMANOIR;72650;LA BAZOGE;5;Chemin de Beaumanoir;72650;La Bazoge;48.103477;0.151124;0.95
DP07202421Z0866-0;60;;AVENUE NATIONALE;72650;LA BAZOGE;60;Avenue Nationale;72650;La Bazoge;48.098888;0.154728;0.96
DP07202421Z0866-2;60;;AVENUE NATIONALE;72650;LA BAZOGE;60;Avenue Nationale;72650;La Bazoge;48.098888;0.154728;0.96
DP07202421Z0867-2;6;;RUE DE MARTFELD;72650;LA BAZOGE;6;Rue de Martfeld;72650;La Bazoge;48.100018;0.148468;0.95
DP07202421Z0868-0;8;;ROUTE DE LA MAUGATELIERE;72650;LA BAZOGE;8;Rue de la Gare;72650;La Bazoge;48.09514;0.153345;0.54
DP07202421Z0868-2;8;;ROUTE DE LA MAUGATELIERE;72650;LA BAZOGE;8;Rue de la Gare;72650;La Bazoge;48.09514;0.153345;0.54
DP07202421Z0869-0;10;;AVENUE DES LILAS;72650;LA BAZOGE;10;Avenue des Lilas;72650;La Bazoge;48.09611;0.151895;0.95
DP07202421Z0869-2;10;;RUE DES LILAS;72650;LA BAZOGE;10;Avenue des Lilas;72650;La Bazoge;48.09611;0.151895;0.74
DP07202421Z0870-0;;;ZA de la Petite montagne;72330;CERANS FOULLETOURTE;;La Petite Montagne;72330;Cérans-Foulletourte;47.816526;0.063566;0.82
DP07202421Z0870-2;;;LES JECULIERES;72650;LA BAZOGE;;Chem des Jeculieres;72650;La Bazoge;48.097135;0.134797;0.73
DP07202421Z0871-0;9;;RUE DE MALABRY;72650;LA BAZOGE;9;Rue de Malabry;72650;La Bazoge;48.09296;0.158082;0.95
DP07202421Z0871-2;9;;RUE DE MALABRY;72650;LA BAZOGE;9;Rue de Malabry;72650;La Bazoge;48.09296;0.158082;0.95
DP07202921Z0040-0;2;RUE;de l'Ouche de Bert;72170;Beaumont-sur-Sarthe;2;Rue de l’Ouche de Bert;72170;Beaumont-sur-Sarthe;48.22838;0.123364;0.95
DP07202921Z0040-1;2;RUE;DE L'OUCHE DE BERT;72170;BEAUMONY-SUR-SARTHE;2;Rue de l’Ouche de Bert;72170;Beaumont-sur-Sarthe;48.22838;0.123364;0.87
DP07202921Z0040-2;2;;RUE L OUCHE DE BERT;72170;BEAUMONT SUR SARTHE;2;Rue de l’Ouche de Bert;72170;Beaumont-sur-Sarthe;48.22838;0.123364;0.89
DP07202921Z0041-0;57;RUE;de la Gare;72170;Beaumont-sur-Sarthe;57;Rue de la Gare;72170;Beaumont-sur-Sarthe;48.227309;0.136105;0.96
DP07202921Z0041-2;84;;RUE DE LA GARE;72170;BEAUMONT SUR SARTHE;84;Rue de la Gare;72170;Beaumont-sur-Sarthe;48.228361;0.140123;0.96
DP07203421Z0002-0;6;;la Miottière;72610;BERUS;6;Lieu Dit la Miottiere;72610;Bérus;48.371163;0.080902;0.65
DP07203421Z0002-2;6;;la Miottière;72610;BERUS;6;Lieu Dit la Miottiere;72610;Bérus;48.371163;0.080902;0.65
DP07203421Z0003-2;5;;la Palestine;72610;BERUS;5;Lieu Dit la Palestine;72610;Bérus;48.371826;0.047758;0.66
DP07204221Z0018-0;28;;COURS ALBERT PREMIER;75008;PARIS;28;Cours Albert Ier;75008;Paris;48.86491;2.306268;0.78
DP07204221Z0018-2;19;;RUE PABLO PICASSO;72440;BOULOIRE;19;Rue Pablo Picasso;72440;Bouloire;47.967727;0.555592;0.95
DP07204221Z0028-2;6;;CHEMIN DE LA BOULANDERIE;72440;BOULOIRE;6;Rue de la Boulanderie;72440;Bouloire;47.976985;0.543707;0.69
DP07204221Z0029-0;;;1 cours DU LOUVRE;72440;BOULOIRE;1;Cour du Louvre;72440;Bouloire;47.972509;0.554944;0.84
DP07204221Z0029-2;1;;COURS DU LOUVRE;72440;BOULOIRE;1;Cour du Louvre;72440;Bouloire;47.972509;0.554944;0.84
DP07204221Z0030-0;;PLACE;DU PETIT MARCHÉ;72440;BOULOIRE;;Pl du Petit Marche;72440;Bouloire;47.97232;0.555552;0.79
DP07204221Z0030-2;;;RUE NATIONALE;72440;BOULOIRE;;Rue Nationale;72440;Bouloire;47.972708;0.554758;0.96
DP07204221Z0031-2;1;;RUE JEAN ROSTAND;72440;BOULOIRE;1;Rue Jean Rostand;72440;Bouloire;47.974622;0.549938;0.96
DP07204221Z0032-2;3;;RUE LOUIS DAGUERRE;72440;BOULOIRE;3;Rue Louis Daguerre;72440;Bouloire;47.976129;0.557064;0.95
DP07204221Z0033-0;83;RUE;NATIONALE;72440;BOULOIRE;83;Rue Nationale;72440;Bouloire;47.973119;0.553926;0.96
DP07204321Z0020-0;44-46;;rue des Plantagenêt;72610;BOURG LE ROI;46;Rue des Plantagenets;72610;Bourg-le-Roi;48.347896;0.133723;0.81
DP07204321Z0020-2;42;;RUE DES PLANTAGENETS;72610;BOURG LE ROI;;Rue des Plantagenets;72610;Bourg-le-Roi;48.346289;0.131362;0.87
DP07204321Z0021-0;13;;RUE DE LA TOUR;72610;BOURG LE ROI;13;Rue de la Tour;72610;Bourg-le-Roi;48.345128;0.137907;0.94
DP07204321Z0021-2;13;;RUE DE LA TOUR;72610;BOURG LE ROI;13;Rue de la Tour;72610;Bourg-le-Roi;48.345128;0.137907;0.94
DP07204321Z0022-0;8;;RUE DE LA MOIRE;72610;BOURG LE ROI;8;Rue de la Moire;72610;Bourg-le-Roi;48.344651;0.132001;0.94
DP07204321Z0022-2;8;;RUE DE LA MOIRE;72610;BOURG LE ROI;8;Rue de la Moire;72610;Bourg-le-Roi;48.344651;0.132001;0.94
DP07204621Z0018-0;21;;RUE DU STADE;72370;LE BREIL SUR MERIZE;21;Rue du Stade;72370;Le Breil-sur-Mérize;47.999872;0.478288;0.95
DP07204621Z0018-2;21;;RUE DU STADE;72370;LE BREIL-SUR-MÉRIZE;21;Rue du Stade;72370;Le Breil-sur-Mérize;47.999872;0.478288;0.95
DP07204621Z0019-0;1;;rue des Ormeaux;72370;LE BREIL SUR MERIZE;1;Rue des Ormeaux;72370;Le Breil-sur-Mérize;48.006963;0.480845;0.95
DP07204621Z0019-2;1;;RUE DES ORMEAUX;72370;LE BREIL-SUR-MÉRIZE;1;Rue des Ormeaux;72370;Le Breil-sur-Mérize;48.006963;0.480845;0.95
DP07204621Z0020-0;38;;RUE DE LA FABRIQUE;72370;LE BREIL SUR MERIZE;38;Rue de la Fabrique;72370;Le Breil-sur-Mérize;48.010951;0.474252;0.95
DP07204621Z0020-2;38;;RUE DE LA FABRIQUE;72370;LE BREIL-SUR-MÉRIZE;38;Rue de la Fabrique;72370;Le Breil-sur-Mérize;48.010951;0.474252;0.95
DP07204721Z0008-0;;;6 RUE DES PERVENCHES;72250;BRETTE LES PINS;6;Rue des Pervenches;72250;Brette-les-Pins;47.914559;0.330441;0.95
DP07204721Z0008-2;6;;RUE DES PERVENCHES;72250;BRETTE LES PINS;6;Rue des Pervenches;72250;Brette-les-Pins;47.914559;0.330441;0.95
DP07204721Z0033-0;;;48 rue DES PINS;72250;BRETTE LES PINS;48;Rue des Pins;72250;Brette-les-Pins;47.910366;0.333893;0.96
DP07204721Z0033-2;48;;RUE DES PINS;72250;BRETTE LES PINS;48;Rue des Pins;72250;Brette-les-Pins;47.910366;0.333893;0.96
DP07204721Z0040-0;11;;RUE DES BLEUETS;72250;BRETTE LES PINS;11;Rue des Bleuets;72250;Brette-les-Pins;47.910946;0.335818;0.95
DP07204721Z0040-2;11;;RUE DES BLEUETS;72250;BRETTE LES PINS;11;Rue des Bleuets;72250;Brette-les-Pins;47.910946;0.335818;0.95
DP07204721Z0041-0;;;11 rue DES PINS;72250;BRETTE LES PINS;11;Rue des Pins;72250;Brette-les-Pins;47.914184;0.331798;0.96
DP07204721Z0041-2;11;;RUE DES PINS;72250;BRETTE LES PINS;11;Rue des Pins;72250;Brette-les-Pins;47.914184;0.331798;0.96
DP07204721Z0042-0;41;;RUE DES CEPES;72250;BRETTE LES PINS;41;Rue des Cèpes;72250;Brette-les-Pins;47.918203;0.32494;0.95
DP07204721Z0042-2;41;;RUE DES CEPES;72250;BRETTE LES PINS;41;Rue des Cèpes;72250;Brette-les-Pins;47.918203;0.32494;0.95
DP07204721Z0043-0;;LIEU-;Loirecopark 1;72500;VAAS;;Loirecopark 1;72500;Vaas;47.679225;0.298837;0.74
DP07204721Z0043-2;;;LE CHAMP TAILLANT;72250;BRETTE LES PINS;;Le Pont;72250;Brette-les-Pins;47.906595;0.318069;0.53
DP07204721Z0044-0;42;RUE;des Pins;72250;BRETTE LES PINS;42;Rue des Pins;72250;Brette-les-Pins;47.911367;0.333701;0.96
DP07204721Z0044-2;42;;RUE DES PINS;72250;BRETTE LES PINS;42;Rue des Pins;72250;Brette-les-Pins;47.911367;0.333701;0.96
DP07204721Z0045-0;46;RUE;DES BICHES;72250;BRETTE LES PINS;46;Rue des Biches;72250;Brette-les-Pins;47.907089;0.341418;0.96
DP07204721Z0045-2;46;RUE;DES BICHES;72250;BRETTE LES PINS;46;Rue des Biches;72250;Brette-les-Pins;47.907089;0.341418;0.96
DP07204721Z0046-0;;;APPT 225, 4 rue DE MOSCOU;72190;COULAINES;4;Rue de Moscou;72190;Coulaines;48.022099;0.207934;0.71
DP07204721Z0046-2;;LIEU-;LA LANDE DES CACHOTS;72250;BRETTE LES PINS;;Lieu Dit la Lande;72250;Brette-les-Pins;47.90008;0.334166;0.65
DP07204721Z0047-0;;;24 RUE DES ECUREUILS;72250;BRETTE LES PINS;24;Rue des Ecureuils;72250;Brette-les-Pins;47.914191;0.334892;0.95
DP07204721Z0047-2;24;;RUE DES ECUREUILS;72250;BRETTE LES PINS;24;Rue des Ecureuils;72250;Brette-les-Pins;47.914191;0.334892;0.95
DP07204721Z0048-0;8;;RUE DES FAISANS;72250;BRETTE LES PINS;8;Rue des Faisans;72250;Brette-les-Pins;47.913975;0.33797;0.95
DP07204721Z0048-2;8;;RUE DES FAISANS;72250;BRETTE LES PINS;8;Rue des Faisans;72250;Brette-les-Pins;47.913975;0.33797;0.95
DP07204721Z0049-0;42;RUE;des Pins;72250;BRETTE LES PINS;42;Rue des Pins;72250;Brette-les-Pins;47.911367;0.333701;0.96
DP07204721Z0049-2;42;;RUE DES PINS;72250;BRETTE LES PINS;42;Rue des Pins;72250;Brette-les-Pins;47.911367;0.333701;0.96
DP07204721Z0050-0;;;28 rue DES BLEUETS;72250;BRETTE LES PINS;28;Rue des Bleuets;72250;Brette-les-Pins;47.909219;0.334321;0.95
DP07204721Z0050-2;28;;RUE DES BLEUETS;72250;BRETTE LES PINS;28;Rue des Bleuets;72250;Brette-les-Pins;47.909219;0.334321;0.95
DP07204721Z0051-0;;;11 rue DES PINS;72250;BRETTE LES PINS;11;Rue des Pins;72250;Brette-les-Pins;47.914184;0.331798;0.96
DP07204721Z0051-2;11;;RUE DES PINS;72250;BRETTE LES PINS;11;Rue des Pins;72250;Brette-les-Pins;47.914184;0.331798;0.96
DP07204721Z0052-0;26;;RUE DES GENETS D'OR;72250;BRETTE LES PINS;26;Rue des Genêts d’Or;72250;Brette-les-Pins;47.911887;0.34092;0.95
DP07204721Z0052-2;26;;RUE DES GENETS D OR;72250;BRETTE LES PINS;26;Rue des Genêts d’Or;72250;Brette-les-Pins;47.911887;0.34092;0.95
DP07205321Z0021-2;1;;CITE LA SAPINIERE DU COURT;72250;CHALLES;1;Cite la Sapiniere du Courtil;72250;Challes;47.932607;0.417396;0.85
DP07205321Z0022-0;13;;lotissement Le Pré du Cro;72250;CHALLES;13;Lotissement le Pre du Croissant;72250;Challes;47.929153;0.416881;0.78
DP07205321Z0022-2;13;;Lotissement Le Pré du Cro;72250;CHALLES;13;Lotissement le Pre du Croissant;72250;Challes;47.929153;0.416881;0.78
DP07205321Z0023-0;;;LOIREECOPARK 1;72500;VAAS;;Loirecopark 1;72500;Vaas;47.679225;0.298837;0.89
DP07205321Z0024-0;;;LE GUETTE LOUP;72250;CHALLES;;Le Guette Loup;72250;Challes;47.928272;0.415216;0.94
DP07205321Z0024-2;;;LE GUETTE LOUP;72250;CHALLES;;Le Guette Loup;72250;Challes;47.928272;0.415216;0.94
DP07205820Z0026-0;16;PLACE;DU PONT DE L'ALMA;72560;CHANGE;16;Place du Pont de l’Alma;72560;Changé;47.98819;0.292599;0.96
DP07205820Z0026-2;16;PLACE;DU PONT DE L'ALMA;72560;CHANGE;16;Place du Pont de l’Alma;72560;Changé;47.98819;0.292599;0.96
DP07205821Z0087-0;;;118 AV MAL DE LATTRE DE TA;94120;FONTENAY-SOUS-BOIS;;;;;;;
DP07205821Z0087-2;;;LE CHAMP DU JARRIER;72560;CHANGE;;Le Champ du Jarrier;72560;Changé;47.964839;0.283927;0.95
DP07205821Z0111-0;23;ROUTE;DU TERTRE;72560;CHANGE;23;Route du Tertre;72560;Changé;47.981517;0.262417;0.96
DP07205821Z0111-2;23;ROUTE;DU TERTRE;72560;CHANGE;23;Route du Tertre;72560;Changé;47.981517;0.262417;0.96
DP07205821Z0117-0;275;IMPAS;DE L'ABBAYE;72560;CHANGE;275;Impasse de l’Abbaye;72560;Changé;47.985939;0.270138;0.84
DP07205821Z0117-1;275;IMPAS;DE L'ABBAYE;72560;CHANGE;275;Impasse de l’Abbaye;72560;Changé;47.985939;0.270138;0.84
DP07205821Z0117-2;275;IMPAS;DE L'ABBAYE;72560;CHANGE;275;Impasse de l’Abbaye;72560;Changé;47.985939;0.270138;0.84
DP07205821Z0119-0;21;RUE;SAINT JACQUES;72560;CHANGE;21;Rue Saint Jacques;72560;Changé;47.985071;0.281428;0.96
DP07205821Z0119-2;21;RUE;SAINT JACQUES;72560;CHANGE;21;Rue Saint Jacques;72560;Changé;47.985071;0.281428;0.96
DP07205821Z0120-0;9;ALLEE;DES JASNIERES;72560;CHANGE;9;Allée des Jasnières;72560;Changé;47.983049;0.276947;0.96
DP07205821Z0120-2;9;ALLEE;DES JASNIERES;72560;CHANGE;9;Allée des Jasnières;72560;Changé;47.983049;0.276947;0.96
DP07205821Z0121-0;150;CHEMI;DE LA LANDE;72560;CHANGE;;Chemin de la Blinière;72560;Changé;47.980303;0.337439;0.46
DP07205821Z0121-2;150;CHEMI;DE LA LANDE;72560;CHANGE;;Chemin de la Blinière;72560;Changé;47.980303;0.337439;0.46
DP07205821Z0122-0;40;ROUTE;DE PARIGNE L'EVEQUE;72560;CHANGE;40;Route de Parigne l’Eveque;72560;Changé;47.984431;0.296156;0.97
DP07205821Z0122-2;0040;ROUTE;ROUTE DE PARIGNE L'EVEQUE;72560;CHANGE;40;Route de Parigne l’Eveque;72560;Changé;47.984431;0.296156;0.79
DP07205821Z0123-0;1;IMPAS;DE LA CALIFORNIE;72560;CHANGE;;Route de la Californie;72560;Changé;47.984032;0.267999;0.65
DP07205821Z0123-1;1;IMPAS;DE LA CALIFORNIE;72560;CHANGE;;Route de la Californie;72560;Changé;47.984032;0.267999;0.65
DP07205821Z0123-2;1;IMPAS;DE LA CALIFORNIE;72560;CHANGE;;Route de la Californie;72560;Changé;47.984032;0.267999;0.65
DP07205821Z0124-0;32;ROUTE;DE LA CALIFORNIE;72560;CHANGE;32;Route de la Californie;72560;Changé;47.984023;0.267641;0.96
DP07205821Z0124-1;32;ROUTE;DE LA CALIFORNIE;72560;CHANGE;32;Route de la Californie;72560;Changé;47.984023;0.267641;0.96
DP07205821Z0124-2;32;ROUTE;DE LA CALIFORNIE;72560;CHANGE;32;Route de la Californie;72560;Changé;47.984023;0.267641;0.96
DP07205821Z0125-0;;;24 route DE LA CALIFORNIE;72560;CHANGE;24;Route de la Californie;72560;Changé;47.984083;0.269004;0.96
DP07205821Z0125-2;24;;ROUTE DE LA CALIFORNIE;72560;CHANGE;24;Route de la Californie;72560;Changé;47.984083;0.269004;0.96
DP07205821Z0126-0;;;LA BUTTE DU GRAND BOULAY;72560;CHANGE;;La Butte du Grand Boulay;72560;Changé;47.96075;0.298019;0.95
DP07205821Z0126-2;;;LA BUTTE DU GRAND BOULAY;72560;CHANGE;;La Butte du Grand Boulay;72560;Changé;47.96075;0.298019;0.95
DP07205821Z0127-0;16;RUE;DE LA VILLE L'EVEQUE;75008;PARIS;16;Rue de la Ville l’Evêque;75008;Paris;48.871596;2.320383;0.97
DP07205821Z0127-2;;;LE CHATEAU D EAU;72560;CHANGE;;Route de l’Epau;72560;Changé;47.988219;0.271453;0.41
DP07205821Z0128-0;5;PLACE;DES COMPTES DU MAINE;72000;LE MANS;5;Rue des Cygnes;72000;Le Mans;48.009067;0.223215;0.44
DP07205821Z0128-2;17;;RUE DES PRIMEVERES;72560;CHANGE;17;Rue des Primevères;72560;Changé;47.989026;0.286392;0.96
DP07205821Z0129-0;205;ROUTE;DU CARREFOUR;72560;CHANGE;205;Route du Carrefour;72560;Changé;47.976398;0.323209;0.95
DP07205821Z0129-2;205;ROUTE;DU CARREFOUR;72560;CHANGE;205;Route du Carrefour;72560;Changé;47.976398;0.323209;0.95
DP07205821Z0130-0;;;LES PETITES FRAIRIES;72560;CHANGE;;Les Petites Frairies;72560;Changé;47.970108;0.271111;0.95
DP07205821Z0130-2;;;LES PETITES FRAIRIES;72560;CHANGE;;Les Petites Frairies;72560;Changé;47.970108;0.271111;0.95
DP07205821Z0131-0;2;RUE;MONTAIGNE;72560;CHANGE;2;Rue Montaigne;72560;Changé;47.984507;0.285745;0.96
DP07205821Z0131-2;2;RUE;MONTAIGNE;72560;CHANGE;2;Rue Montaigne;72560;Changé;47.984507;0.285745;0.96
DP07205821Z0132-0;11;ROUTE;DES CHARMES;72560;CHANGE;11;Route des Charmes;72560;Changé;47.984595;0.296396;0.96
DP07205821Z0132-2;11;ROUTE;DES CHARMES;72560;CHANGE;11;Route des Charmes;72560;Changé;47.984595;0.296396;0.96
DP07205821Z0133-0;;;7 route DE FONTENAY;72560;CHANGE;7;Route de Fontenay;72560;Changé;47.977494;0.339254;0.96
DP07205821Z0133-2;7;;ROUTE DE FONTENAY;72560;CHANGE;7;Route de Fontenay;72560;Changé;47.977494;0.339254;0.96
DP07205821Z0134-0;;;4 chemin DES GALLETS;72560;CHANGE;4;Chemin des Gallets;72560;Changé;47.988863;0.314858;0.96
DP07205821Z0134-2;4;;CHEMIN DES GALLETS;72560;CHANGE;4;Chemin des Gallets;72560;Changé;47.988863;0.314858;0.96
DP07205821Z0135-0;41;ROUTE;DE PARIGNE L'EVEQUE;72560;CHANGE;41;Route de Parigne l’Eveque;72560;Changé;47.984483;0.294686;0.97
DP07205821Z0135-2;41 B;ROUTE;DE PARIGNE L'EVEQUE;72560;CHANGE;;Route de Parigne l’Eveque;72560;Changé;47.981466;0.30021;0.84
