id;numvoie;typevoie;libvoie;cp;commune
DP07200721Z0003-0;445;ROUTE;DE LA RAINIERE;72370;ARDENAY SUR MERIZE
DP07200721Z0003-2;;;LE CHEMIN DE LA RAINIERE;;ARDENAY SUR MERIZE
DP07200721Z0004-0;;;16 clos DU LEVANT;72370;ARDENAY SUR MERIZE
DP07200721Z0004-2;16;;CLOS DU LEVANT;72370;ARDENAY SUR MERIZE
DP07201121Z0005-0;;;Fontaine;72130;Assé le Boisne
DP07201121Z0005-2;;;FONTAINE;72130;ASSE LE BOISNE
DP07201121Z0006-0;;;6 rue DE LA MADELEINE;72130;ASSE LE BOISNE
DP07201121Z0006-2;6;;RUE DE LA MADELEINE;72130;ASSE LE BOISNE
DP07201121Z0007-0;11;RUE;DE LA TOUCHE;72130;ASSE LE BOISNE
DP07201121Z0007-2;11;;RUE DE LA TOUCHE;72130;ASSE LE BOISNE
DP07202321Z0026-0;29;RUE;PAUL ILIAS;72290;BALLON-SAINT MARS
DP07202321Z0026-2;29;;RUE PAUL ILIAS;72290;BALLON - SAINT MARS
DP07202321Z0033-0;28;RUE;DU GENERAL LECLERC;72290;BALLON- SAINT MARS
DP07202321Z0033-2;28;;RUE DU GENERAL LECLERC;72290;BALLON - SAINT MARS
DP07202321Z0034-0;;LIEU-;LES MARAIS;72290;BALLON-SAINT MARS
DP07202321Z0034-1;1;PLACE;de la République;72290;BALLON - SAINT MARS
DP07202321Z0034-2;0002;;RUE DU GENERAL LECLERC BAL;72290;BALLON - SAINT MARS
DP07202321Z0037-0;;LIEU-;LA GATELLERIE;72290;BALLON-SAINT MARS
DP07202321Z0037-2;;;LA GATELLERIE;72290;BALLON - SAINT MARS
DP07202321Z0038-0;24;RUE;PRINCIPALE;72290;BALLON-SAINT MARS
DP07202321Z0038-2;24;;RUE PRINCIPALE;72290;BALLON - SAINT MARS
DP07202321Z0039-0;4;;RUE DE L'EUROPE;72290;BALLON - SAINT MARS
DP07202321Z0039-2;4;;RUE DE L EUROPE;72290;BALLON - SAINT MARS
DP07202321Z0040-0;50;RUE;SAINT LAURENT;72290;BALLON- SAINT MARS
DP07202321Z0040-2;3;;RUE PRINCIPALE;72290;BALLON - SAINT MARS
